trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.00743123154832,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.3456315568907,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.29015327206777,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,15,-82.79591903206322,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.07312418690319,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.36530681053267,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
