trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
46,False,"{'a': 0.75, 'e': 0.0004725897920604915}",35,16,34.468136281074614,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.75, 'e': 0.0004526935264825713}",25,0,40.77113754475273,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.75, 'e': 0.00043402777777777775}",25,17,14.045332477100358,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.75, 'e': 0.00041649312786339027}",20,0,25.716297314555423,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.75, 'e': 0.0004}",25,5,39.2373523819666,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.75, 'e': 0.00038446751249519417}",20,5,-16.595545645994704,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.75, 'e': 0.0003698224852071006}",30,10,34.933285779342974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.75, 'e': 0.000355998576005696}",25,0,31.111076994848425,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.75, 'e': 0.0003429355281207133}",20,0,9.316599362137708,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.75, 'e': 0.00033057851239669424}",20,11,17.41145829471874,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.75, 'e': 0.00031887755102040814}",30,0,42.610472739003605,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.75, 'e': 0.0003077870113881194}",20,0,8.73986161639806,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
58,False,"{'a': 0.75, 'e': 0.00029726516052318666}",20,0,23.307478221082164,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.75, 'e': 0.0002872737719046251}",25,6,28.06396689562306,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.75, 'e': 0.0002777777777777778}",25,15,16.454984443313776,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.75, 'e': 0.0002687449610319806}",20,0,27.938291772532644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.75, 'e': 0.00026014568158168577}",25,17,16.149005514401242,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.75, 'e': 0.0002519526329050139}",25,11,26.432907219611558,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.75, 'e': 0.000244140625}",20,13,12.018106699832783,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.75, 'e': 0.00023668639053254438}",20,5,20.911040111481967,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.75, 'e': 0.0002295684113865932}",30,2,42.547413416888595,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.75, 'e': 0.00022276676319893073}",25,10,25.872353556866297,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.75, 'e': 0.00021626297577854672}",30,10,34.62479006793085,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.75, 'e': 0.00021003990758244065}",20,13,13.337302827263738,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
